text,label,severity,source
"[AGENT] security [FILE] n2/c.c [TITLE] Error Handling Vulnerability [DESC] The 'perror' function is used to print error messages, but it does not provide any additional information about the error. This can make it difficult to diagnose and fix issues. [FIX] Consider using a more robust error handling mechanism, such as logging errors to a file or displaying more detailed error messages.",2,medium,db
"[AGENT] security [FILE] src/routes/users.js [TITLE] NoSQL Injection via unsanitized query parameter [DESC] User-supplied 'query' parameter is interpolated directly into a MongoDB query without proper sanitization, allowing an attacker to execute arbitrary MongoDB queries. [FIX] Use a library like mongoose-sanitize to sanitize user input, or use a query builder that supports parameterization.",1,high,db
"[AGENT] logic [FILE] auth.ts [TITLE] Missing null/undefined checks for credentials [DESC] The function lacks input validation. If parameters are null or undefined, they are coerced into strings ('null'), leading to unpredictable behavior in both the query generation and the comparison logic. [FIX] Add early return or error handling for missing or invalid username/password inputs.",2,medium,db
"[AGENT] logic [FILE] src/routes/auth.js [TITLE] Potential null reference when creating a new user [DESC] If the User model is not properly initialized, the 'new User' statement may throw a null reference error. [FIX] Ensure the User model is properly imported and initialized before creating a new user.",2,medium,db
[AGENT] style [FILE] lib/config.ts [TITLE] Dead code: unreachable branch [DESC] The else branch after an early return is never executed. [FIX] Remove the unreachable else block.,3,low,synthetic
"[AGENT] security [FILE] n2/c.c [TITLE] Error Handling Vulnerability via perror [DESC] The perror function is used to print error messages, but it also includes the program's name, which could potentially reveal sensitive information about the system or application. [FIX] Use a custom error handling function that does not include the program's name.",2,medium,db
"[AGENT] security [FILE] app/cp/c.c [TITLE] Path Traversal Vulnerability [DESC] The filename is taken directly from user input without any validation or sanitization, allowing an attacker to potentially write to arbitrary files on the system. [FIX] Validate and sanitize the filename to prevent path traversal attacks. For example, use a whitelist of allowed file extensions and ensure the file is written to a specific directory.",0,critical,db
"[AGENT] style [FILE] app/test1/page.tsx [TITLE] Missing trailing newline [DESC] The file ends without a newline character, which is a standard formatting practice in most style guides and required by some Unix tools. [FIX] Add a empty line at the end of the file.",3,low,db
"[AGENT] style [FILE] app/test1/page.tsx [TITLE] Non-standard React Component Naming [DESC] The React component 'test1' is defined using camelCase. By convention and for clarity in JSX, React components should always use PascalCase (e.g., 'Test1' or 'Test1Page'). [FIX] Rename the component from 'test1' to 'Test1Page'.",2,medium,db
"[AGENT] security [FILE] n2/c.c [TITLE] Potential Information Disclosure via Error Messages [DESC] Error messages from fopen may reveal sensitive information about the file system. [FIX] Use a custom error message: if (fp == NULL) { fprintf(stderr, ""Failed to open file\n""); return 1; }",2,medium,db
[AGENT] style [FILE] lib/config.ts [TITLE] Dead code: unreachable branch [DESC] The else branch after an early return is never executed. [FIX] Remove the unreachable else block.,3,low,synthetic
"[AGENT] logic [FILE] src/routes/auth.js [TITLE] Missing error handling for bcrypt.hash [DESC] The function does not handle errors that may occur when hashing the password. If an error occurs, it will be caught by the outer catch block and return a generic error message. [FIX] Add a try-catch block around bcrypt.hash: try { const hashedPassword = await bcrypt.hash(password, 12); } catch (err) { return res.status(500).json({ error: 'Error hashing password' }); }",2,medium,db
"[AGENT] logic [FILE] app/cp/c.c [TITLE] Buffer overflow vulnerability in scanf [DESC] The function uses scanf to read a string into a fixed-size buffer (filename) without checking the length of the input. This can lead to a buffer overflow if the input exceeds the buffer size. [FIX] Use fgets instead of scanf to prevent buffer overflow: fgets(filename, sizeof(filename), stdin);",1,high,db
"[AGENT] security [FILE] app/cp/c.c [TITLE] Path Traversal and Potential Arbitrary File Write [DESC] User-supplied 'filename' parameter is used directly in fopen without validation, allowing an attacker to potentially write to arbitrary files on the system. [FIX] Validate and sanitize the filename: if (snprintf(filename, sizeof(filename), ""data/%s"", user_input) >= sizeof(filename)) { /* handle error */ }",0,critical,db
"[AGENT] logic [FILE] lib/date.ts [TITLE] Off-by-one error in date range filter [DESC] The filter uses < endDate instead of <= endDate, excluding records created on the final day. [FIX] Change condition to: where createdAt <= endDate",2,medium,synthetic
"[AGENT] logic [FILE] n2/c.c [TITLE] Missing error handling for fgets [DESC] The fgets function does not check for errors. If the file is empty or an error occurs while reading, the program will produce undefined behavior. [FIX] Check the return value of fgets to ensure that the input was read correctly: if (fgets(buffer, sizeof(buffer), fp) == NULL) { /* handle error */ }",2,medium,db
"[AGENT] performance [FILE] auth.ts [TITLE] Blocking Synchronous Nested Loop (O(n²)) [DESC] The login logic contains a nested loop that performs 100,000,000 iterations synchronously. This will block the Node.js Event Loop, preventing the server from processing any other concurrent requests and creating a Denial of Service (DoS) vulnerability. [FIX] Remove the nested loop entirely. Use rate-limiting middleware or standard cryptographic delays (like bcrypt) if a delay is intended.",0,critical,db
[AGENT] performance [FILE] api/search.ts [TITLE] Missing database index on frequently queried field [DESC] The email field is queried with WHERE email = $1 on every login but has no index. [FIX] Add: @@index([email]) to the Prisma model,2,medium,synthetic
"[AGENT] security [FILE] src/routes/auth.js [TITLE] Token expiration [DESC] The token now expires after 7 days, which is a good practice to limit the validity of tokens. However, it's still important to consider implementing token blacklisting or revocation to handle token compromise or user account termination. [FIX] Consider implementing token blacklisting or revocation to handle token compromise or user account termination.",2,medium,db
"[AGENT] performance [FILE] api/users.ts [TITLE] N+1 query in user list endpoint [DESC] Each user in the loop triggers a separate SELECT for their profile, causing linear query growth. [FIX] Use include/join: prisma.user.findMany({ include: { profile: true } })",1,high,synthetic
"[AGENT] logic [FILE] app/cp/c.c [TITLE] No validation for student name input [DESC] The code uses scanf to read a student name into a fixed-size buffer without checking the length of the input. This can lead to a buffer overflow if the input exceeds 20 characters. [FIX] Use fgets instead of scanf to read the student name, and check the length of the input to prevent buffer overflow.",2,medium,db
"[AGENT] security [FILE] n2/c.c [TITLE] Error Handling Vulnerability [DESC] The fopen function is used to open a file, but the error handling is incomplete. If the file cannot be opened, the program will print an error message and return, but it will not handle other potential errors that may occur. [FIX] Use a more comprehensive error handling approach, such as checking the return value of fopen and handling potential errors that may occur during file operations.",2,medium,db
[AGENT] style [FILE] app/test1/page.tsx [TITLE] Missing Newline at EOF [DESC] Both the .tsx and .c files are missing a newline character at the end of the file. This is a standard POSIX requirement and helps prevent issues with git diffs and terminal concatenation. [FIX] Add a blank line at the end of the file.,3,low,db
"[AGENT] style [FILE] app/cp/c.c [TITLE] Magic number used for array size [DESC] The number 21 is used directly in the struct definition without explanation. This makes it hard to find and change later, and its meaning is unclear to other developers. [FIX] Extract to a named constant: #define MAX_NAME_LENGTH 21",2,medium,db
"[AGENT] security [FILE] auth.ts [TITLE] Sensitive Data Exposure in Logs [DESC] The code logs the entire SQL query to the console, which includes the plaintext password provided by the user. This exposes sensitive credentials to anyone with access to the application logs. [FIX] Remove logging of sensitive data. Mask or redact passwords if logging is required.",1,high,db
"[AGENT] style [FILE] app/cp/c.c [TITLE] Magic number used for filename length [DESC] The number 100 is used directly for the filename length without explanation. This makes it hard to find and change later, and its meaning is unclear to other developers. [FIX] Extract to a named constant: #define MAX_FILENAME_LENGTH 100",2,medium,db
"[AGENT] logic [FILE] app/cp/c.c [TITLE] Missing error handling for scanf [DESC] The scanf function returns the number of successful assignments. If the user enters something that cannot be parsed as an integer, scanf will return 0 and the 's.roll' variable will remain uninitialized, potentially causing undefined behavior. [FIX] Check the return value of scanf: if (scanf(""%d"", &s.roll) != 1) { /* handle error */ }",2,medium,db
[AGENT] performance [FILE] src/routes/products.js [TITLE] Unbounded data fetching in products endpoint [DESC] Fetching all products without limit can lead to performance issues and high memory usage. [FIX] Add pagination: const products = await Product.find({}).limit(10).skip(0);,2,medium,db
"[AGENT] logic [FILE] app/cp/c.c [TITLE] Missing error handling for scanf [DESC] The scanf function does not check for errors. If the user enters something that cannot be parsed as a string or integer, the program will produce undefined behavior. [FIX] Check the return value of scanf to ensure that the input was parsed correctly: if (scanf(""%20s"", s.name) != 1) { /* handle error */ }",2,medium,db
"[AGENT] performance [FILE] src/routes/users.js [TITLE] Unbounded data fetching in user search endpoint [DESC] The search endpoint fetches all users matching the query without any pagination or limit, potentially leading to large result sets and performance issues. [FIX] Add pagination to the search endpoint: const users = await User.find({ $or: [...] }).limit(100).skip((req.query.page - 1) * 100);",1,high,db
"[AGENT] security [FILE] src/routes/auth.js [TITLE] Insufficient password hashing [DESC] The password hashing salt rounds have been increased to 12, which is a good practice. However, it's still important to note that bcrypt's default salt rounds may not be sufficient for all use cases. [FIX] Consider using a more secure password hashing algorithm like Argon2 or PBKDF2, and adjust the salt rounds according to your specific security requirements.",2,medium,db
"[AGENT] performance [FILE] auth.ts [TITLE] Blocking Synchronous Nested Loop (O(n²)) [DESC] The login logic contains a nested loop that performs 100,000,000 iterations synchronously. This will block the Node.js Event Loop, preventing the server from processing any other concurrent requests and creating a Denial of Service (DoS) vulnerability. [FIX] Remove the nested loop entirely. Use rate-limiting middleware or standard cryptographic delays (like bcrypt) if a delay is intended.",0,critical,db
"[AGENT] performance [FILE] src/routes/auth.js [TITLE] Potential performance issue with bcrypt hashing [DESC] The code uses bcrypt to hash passwords, but the salt rounds have been increased from 4 to 12. While this is a security improvement, it may also increase the computational overhead of the hashing process. [FIX] Consider using a more efficient password hashing algorithm, such as Argon2, or optimizing the bcrypt configuration for better performance.",2,medium,db
"[AGENT] style [FILE] auth.ts [TITLE] Missing explicit return type [DESC] The function 'loginUser' lacks an explicit return type, making the API contract less clear. [FIX] Define a return type (e.g., a LoginResponse interface) for the function.",3,low,db
[AGENT] style [FILE] components/Card.tsx [TITLE] Magic number used for timeout delay [DESC] The number 3000 is used directly without explanation. Its meaning is unclear to readers. [FIX] Extract: const NOTIFICATION_TIMEOUT_MS = 3000;,2,medium,synthetic
"[AGENT] style [FILE] app/test1/page.tsx [TITLE] Non-standard component naming [DESC] React components should follow PascalCase naming conventions (e.g., Test1 instead of test1) to distinguish them from standard HTML elements and improve readability. [FIX] Rename 'test1' to 'TestPage' or 'Test1'.",3,low,db
[AGENT] logic [FILE] utils/parse.ts [TITLE] Null reference when API returns empty response [DESC] The function accesses data.items[0].name without checking if items is empty. [FIX] Add guard: const first = data.items?.[0]; if (!first) return null;,1,high,synthetic
"[AGENT] style [FILE] app/test1/c.c [TITLE] Missing Whitespace in C Code [DESC] The C code lacks standard spacing in the include directive and the main function declaration, which reduces readability. [FIX] Change to '#include <stdio.h>' and 'int main() {' with proper spacing.",3,low,db
"[AGENT] security [FILE] auth.ts [TITLE] Hardcoded Secret Key [DESC] The secret key used for generating or validating tokens is hardcoded in the source code. If committed to a repository, the secret is compromised, allowing attackers to forge authentication tokens. [FIX] Store sensitive keys in environment variables or a dedicated secrets management service.",1,high,db
"[AGENT] security [FILE] src/routes/auth.js [TITLE] Hardcoded JWT secret [DESC] Although the JWT secret is now being read from an environment variable, it still has a hardcoded fallback value. This could lead to unintended usage of the hardcoded secret in certain environments. [FIX] Remove the hardcoded fallback value and ensure the JWT secret is always read from an environment variable.",1,high,db
"[AGENT] security [FILE] app/cp/c.c [TITLE] Path Traversal Vulnerability [DESC] The filename is taken directly from user input without any validation or sanitization, allowing an attacker to potentially write to any file on the system. [FIX] Validate and sanitize the filename to prevent path traversal attacks. Consider using a whitelist of allowed file extensions and directories.",1,high,db
"[AGENT] security [FILE] app/cp/c.c [TITLE] Path Traversal and Potential Arbitrary File Write [DESC] User-supplied 'filename' parameter is used directly in fopen without validation, allowing an attacker to potentially write to arbitrary files on the system. [FIX] Validate and sanitize the filename: if (snprintf(filename, sizeof(filename), ""data/%s"", user_input) >= sizeof(filename)) { /* handle error */ }",0,critical,db
"[AGENT] security [FILE] app/cp/c.c [TITLE] Buffer Overflow Vulnerability via Unsanitized User Input [DESC] User-supplied 'name' parameter is read into a fixed-size buffer 's.name' without validation, allowing an attacker to potentially overflow the buffer and execute arbitrary code. [FIX] Use a safer function like 'fgets' to read user input and validate the length of the input to prevent buffer overflows.",1,high,db
"[AGENT] security [FILE] auth.ts [TITLE] Authentication Bypass via Hardcoded Credentials [DESC] The login logic contains a hardcoded check for the password 'admin123'. This allows any user to gain administrative access regardless of the username provided or the state of the database, effectively rendering the authentication system useless. [FIX] Remove hardcoded credentials and implement a proper authentication check against a hashed password stored in a secure database.",0,critical,db
"[AGENT] security [FILE] api/token.ts [TITLE] Hardcoded JWT secret in source code [DESC] The JWT signing secret is hardcoded as a string literal, exposing it in version control. [FIX] Move to environment variable: process.env.JWT_SECRET",0,critical,synthetic
"[AGENT] style [FILE] app/test1/page.tsx [TITLE] Non-standard component naming [DESC] React components should follow PascalCase naming conventions (e.g., Test1 instead of test1) to distinguish them from standard HTML elements and improve readability. [FIX] Rename 'test1' to 'TestPage' or 'Test1'.",3,low,db
"[AGENT] security [FILE] app/cp/c.c [TITLE] Path Traversal Vulnerability via Unsanitized User Input [DESC] User-supplied 'filename' parameter is used directly to open a file without validation, allowing an attacker to potentially access sensitive files outside the intended directory. [FIX] Use a whitelist of allowed file extensions and validate the input filename to prevent path traversal attacks. Consider using a library like 'path' to normalize and validate file paths.",0,critical,db
"[AGENT] performance [FILE] src/routes/products.js [TITLE] N+1 query in product reviews endpoint [DESC] Each review triggers a separate FIND for the review. With 1000 reviews, this produces 1001 queries instead of 2. [FIX] Use include/join or populate: Product.find({ _id: req.params.id }).populate('reviewIds')",1,high,db
"[AGENT] logic [FILE] hooks/useData.ts [TITLE] Race condition: setState after unmount [DESC] The async fetch resolves after component unmount, triggering setState on an unmounted component. [FIX] Track mounted state: let mounted = true; fetch().then(d => { if (mounted) setState(d) }); return () => { mounted = false }",1,high,synthetic
"[AGENT] logic [FILE] app/cp/c.c [TITLE] Buffer overflow vulnerability in filename input [DESC] The code uses scanf to read a filename into a fixed-size buffer (filename[100]) without checking the length of the input. If the user enters a filename longer than 99 characters, it will overflow the buffer and potentially cause a crash or allow arbitrary code execution. [FIX] Use fgets to read the filename with a length check: fgets(filename, sizeof(filename), stdin);",1,high,db
"[AGENT] style [FILE] api/reviews.ts [TITLE] Inconsistent error handling pattern [DESC] Some handlers use try/catch, others return raw Promise rejections without error boundaries. [FIX] Wrap all async handlers in a consistent error middleware.",3,low,synthetic
"[AGENT] performance [FILE] app/dashboard.tsx [TITLE] Unbounded findMany loads entire table [DESC] prisma.review.findMany() with no take limit loads every row as the table grows. [FIX] Add pagination: prisma.review.findMany({ take: 50, skip: page * 50 })",1,high,synthetic
"[AGENT] style [FILE] auth.ts [TITLE] Use of 'any' type [DESC] The parameters 'username' and 'password' use 'any', bypassing TypeScript's type safety and reducing maintainability. [FIX] Replace 'any' with explicit 'string' types.",2,medium,db
[AGENT] style [FILE] app/test1/page.tsx [TITLE] Missing Newline at EOF [DESC] Both the .tsx and .c files are missing a newline character at the end of the file. This is a standard POSIX requirement and helps prevent issues with git diffs and terminal concatenation. [FIX] Add a blank line at the end of the file.,3,low,db
"[AGENT] security [FILE] app/cp/c.c [TITLE] Path Traversal and Potential Arbitrary File Write [DESC] User-supplied 'filename' parameter is used directly in fopen without validation, allowing an attacker to potentially write to arbitrary files on the system. [FIX] Validate and sanitize the filename: if (snprintf(filename, sizeof(filename), ""data/%s"", user_input) >= sizeof(filename)) { /* handle error */ }",0,critical,db
"[AGENT] performance [FILE] auth.ts [TITLE] Blocking Synchronous Nested Loop (O(n²)) [DESC] The login logic contains a nested loop that performs 100,000,000 iterations synchronously. This will block the Node.js Event Loop, preventing the server from processing any other concurrent requests and creating a Denial of Service (DoS) vulnerability. [FIX] Remove the nested loop entirely. Use rate-limiting middleware or standard cryptographic delays (like bcrypt) if a delay is intended.",0,critical,db
"[AGENT] style [FILE] app/test1/c.c [TITLE] Missing Whitespace in C Code [DESC] The C code lacks standard spacing in the include directive and the main function declaration, which reduces readability. [FIX] Change to '#include <stdio.h>' and 'int main() {' with proper spacing.",3,low,db
"[AGENT] security [FILE] api/webhook.ts [TITLE] Missing webhook signature verification [DESC] The GitHub webhook endpoint does not verify the X-Hub-Signature-256 header. [FIX] Add HMAC verification: crypto.timingSafeEqual(sig, expected)",2,medium,synthetic
"[AGENT] style [FILE] app/test1/tsk.tsx [TITLE] Cryptic filename and generic component name [DESC] The filename 'tsk.tsx' is an unclear abbreviation. Furthermore, naming the component 'test' is too generic and provides no semantic context regarding its purpose. [FIX] Rename the file to a descriptive name (e.g., 'Task.tsx') and update the component name to match in PascalCase (e.g., 'Task').",2,medium,db
"[AGENT] style [FILE] src/routes/users.js [TITLE] Magic number used for query length validation [DESC] The number 100 is used directly in the query length validation without explanation. This makes it hard to find and change later, and its meaning is unclear to other developers. [FIX] Extract to a named constant: const MAX_QUERY_LENGTH = 100;",2,medium,db
"[AGENT] logic [FILE] auth.ts [TITLE] Database query defined but never executed [DESC] A SQL query string is constructed using credentials, but the function never executes it. This indicates a major logic flaw where the intended authentication process is bypassed by dead code. [FIX] Implement the actual database execution using the query (with parameterized inputs) or remove the dead query code.",1,high,db
"[AGENT] style [FILE] app/cp/c.c [TITLE] Magic number used for filename length [DESC] The number 100 is used directly for the filename length. This makes it hard to find and change later, and its meaning is unclear to other developers. [FIX] Extract to a named constant: #define MAX_FILENAME_LENGTH 100",2,medium,db
"[AGENT] performance [FILE] src/routes/users.js [TITLE] No database index on search fields [DESC] The search endpoint queries the database using the $or operator, which can be slow without proper indexing. Adding an index on the name and email fields can improve performance. [FIX] Add an index on the name and email fields: const userSchema = new mongoose.Schema({ ... }, { indexes: [{ name: 1 }, { email: 1 }] });",2,medium,db
"[AGENT] style [FILE] app/cp/c.c [TITLE] Magic number used for array size [DESC] The number 21 is used directly in the struct definition without explanation. This makes it hard to find and change later, and its meaning is unclear to other developers. [FIX] Extract to a named constant: #define MAX_NAME_LENGTH 21",2,medium,db
[AGENT] style [FILE] lib/config.ts [TITLE] Dead code: unreachable branch [DESC] The else branch after an early return is never executed. [FIX] Remove the unreachable else block.,3,low,synthetic
"[AGENT] security [FILE] app/cp/c.c [TITLE] Path Traversal Vulnerability via unsanitized filename input [DESC] User-supplied 'filename' parameter is used directly in the fopen function without any validation or sanitization, allowing an attacker to potentially access or overwrite arbitrary files on the system. [FIX] Use a whitelist of allowed file extensions and validate the input filename to prevent path traversal attacks. For example, use a function like basename to get the filename without the directory path.",0,critical,db
"[AGENT] style [FILE] auth.ts [TITLE] Missing explicit return type [DESC] The function 'loginUser' lacks an explicit return type, making the API contract less clear. [FIX] Define a return type (e.g., a LoginResponse interface) for the function.",3,low,db
"[AGENT] style [FILE] app/test1/c.c [TITLE] Missing Whitespace in C Code [DESC] The C code lacks standard spacing in the include directive and the main function declaration, which reduces readability. [FIX] Change to '#include <stdio.h>' and 'int main() {' with proper spacing.",3,low,db
"[AGENT] performance [FILE] app/cp/c.c [TITLE] Potential memory leak due to missing error handling for fwrite [DESC] If fwrite fails, the file pointer fp will not be closed, leading to a memory leak. [FIX] Add error handling for fwrite: if (fwrite(&s, sizeof(struct Student), 1, fp) != 1) { perror(""Error writing to file""); fclose(fp); return 1; }",2,medium,db
"[AGENT] security [FILE] app/cp/c.c [TITLE] Path Traversal Vulnerability via unsanitized filename input [DESC] User-supplied 'filename' parameter is used directly in the fopen function without any validation or sanitization, allowing an attacker to potentially access or overwrite arbitrary files on the system. [FIX] Use a whitelist of allowed file extensions and validate the input filename to prevent path traversal attacks. For example, use a function like basename to get the filename without the directory path.",0,critical,db
"[AGENT] security [FILE] api/auth.ts [TITLE] SQL Injection via unsanitized input [DESC] User-supplied email is interpolated directly into a SQL query string without parameterization. [FIX] Use parameterized query: db.query('SELECT * FROM users WHERE email = $1', [email])",0,critical,synthetic
"[AGENT] performance [FILE] app/cp/c.c [TITLE] Potential memory leak due to missing error handling for fwrite [DESC] If fwrite fails, the file pointer is not closed, potentially leading to a memory leak. [FIX] Check the return value of fwrite and close the file pointer in case of an error: if (fwrite(&s, sizeof(struct Student), 1, fp) != 1) { fclose(fp); return 1; }",2,medium,db
[AGENT] style [FILE] lib/utils.ts [TITLE] Ambiguous single-letter variable name [DESC] The parameter 'x' in an exported function gives no indication of its purpose. [FIX] Rename to a descriptive name: function processData(inputPayload: DataPayload),3,low,synthetic
"[AGENT] logic [FILE] app/cp/c.c [TITLE] Buffer overflow vulnerability [DESC] The scanf function does not perform any bounds checking on the input. If the user enters a string longer than 20 characters, it will overflow the 'name' buffer in the 'Student' struct. [FIX] Use fgets instead of scanf to prevent buffer overflow: fgets(s.name, sizeof(s.name), stdin);",1,high,db
